유형명,용도명,수출국,원산지,품목,수출국,원산지,총수입건수,총수입중량(톤),총수입금액(천$),부적합건수,부적합중량(톤),부적합금액(천$),현품부재중량(톤),현품부재금액(천$)
,,,,냉동낙지(다리),,,28,248.1,951.87,1,6.49,37.67,0,0
,,,,냉동낙지(자숙),,,23,81.55,490.85,0,0,0,0,0
,,,,냉동날가지,,,1,0.01,0.03,0,0,0,0,0
,,,,냉동날새기,,,7,20.54,172.56,0,0,0,0,0
,,,,냉동날새기(F),,,18,51.59,545.26,0,0,0,0,0
,,,,"냉동날새기(F,포장횟감)",,,35,91.55,"1,034.79",5,10,82.23,0,0
,,,,"냉동날새기(S,포장횟감)",,,27,55.87,"1,005.83",1,0.32,5.72,0,0
,,,,"냉동날새기(구운,S,포장횟감)",,,3,2.25,42.19,0,0,0,0,0
,,,,냉동날새기(목살),,,1,0.25,1.5,0,0,0,0,0
,,,,냉동날치,,,1,0.16,0.48,0,0,0,0,0
,,,,"냉동남극암치(점무늬암치,F)",,,3,22.24,50.04,0,0,0,0,0
,,,,냉동남방칼고기,,,31,43.1,101.19,0,0,0,0,0
,,,,냉동내장(대구내장),,,253,591.31,"1,997.45",0,0,0,0,0
,,,,냉동내장(창난),,,"1,569","22,214.06","73,709.9",65,362.02,"1,501.85",10.98,21.96
,,,,"냉동내장(창난,가염)",,,1,4.8,22.08,1,4.8,22.08,0,0
,,,,냉동넙치,,,586,"3,845.09","21,361.63",5,24.94,93.71,0,0
,,,,냉동넙치(F),,,113,252.31,"1,724.24",0,0,0,0,0
,,,,"냉동넙치(F,포장횟감)",,,14,35.14,374,2,8.17,64.52,0,0
,,,,"냉동넙치(S,포장횟감)",,,54,34.04,600.9,3,2.65,30.35,0,0
,,,,냉동노랑촉수,,,23,475.4,360.38,0,0,0,0,0
,,,,냉동노래미,,,11,45.54,97.64,0,0,0,0,0
,,,,냉동노래미(F),,,4,23.24,65.31,0,0,0,0,0
,,,,냉동노래미(줄노래미),,,2,2.75,1.75,0,0,0,0,0
,,,,냉동노래미(쥐노래미),,,5,1.19,0.8,0,0,0,0,0
,,,,"냉동노래미(쥐노래미,F)",,,1,0.01,0.38,0,0,0,0,0
,,,,냉동놀래기(F),,,1,0.78,7.64,0,0,0,0,0
,,,,"냉동놀래기(옥두놀래기속,F)",,,1,1,1.09,0,0,0,0,0
,,,,냉동농어,,,19,45.67,155.56,0,0,0,0,0
,,,,냉동농어(F),,,6,12.02,113.7,0,0,0,0,0
,,,,"냉동농어(F,포장횟감)",,,456,"1,863.45","16,664.9",14,69.6,419.85,0,0
,,,,"냉동농어(S,포장횟감)",,,479,"1,268.79","20,991.86",6,11.76,187.35,0,0
,,,,냉동눈볼대,,,7,13.32,30.27,0,0,0,0,0
,,,,냉동다동가리,,,1,1.12,4.51,0,0,0,0,0
,,,,냉동다랑어(F),,,1,0.52,5.2,0,0,0,0,0
,,,,냉동다랑어(가다랑어),,,371,"27,120.4","30,329.73",1,0.21,0.21,0,0
,,,,"냉동다랑어(가다랑어,F)",,,19,223.53,618.43,0,0,0,0,0
,,,,"냉동다랑어(가다랑어,F,포장횟감)",,,1,0.1,3.71,0,0,0,0,0
,,,,"냉동다랑어(가다랑어,F,횟감)",,,11,29.07,240.71,0,0,0,0,0
,,,,"냉동다랑어(가다랑어,S,포장횟감)",,,1,0.08,2.91,0,0,0,0,0
,,,,"냉동다랑어(가다랑어,자숙,F)",,,13,156.69,606.9,0,0,0,0,0
,,,,"냉동다랑어(가다랑어,훈제,F,포장횟감)",,,29,26.55,215.04,0,0,0,0,0
,,,,냉동다랑어(날개다랑어),,,319,"5,362","14,969.39",0,0,0,0,0
,,,,"냉동다랑어(날개다랑어,F)",,,44,529.12,"3,991.45",0,0,0,0,0
,,,,"냉동다랑어(날개다랑어,F,포장횟감)",,,1,0.33,1.15,0,0,0,0,0
,,,,"냉동다랑어(날개다랑어,F,횟감)",,,136,163.12,"1,330.25",1,0.5,7.91,0,0
,,,,냉동다랑어(남방참다랑어),,,366,"3,315.51","36,573.63",0,0,0,0,0
,,,,"냉동다랑어(남방참다랑어, 볼살)",,,60,26.81,434.64,0,0,0,0,0
,,,,"냉동다랑어(남방참다랑어,F)",,,26,28.85,757.03,0,0,0,0,0
,,,,"냉동다랑어(남방참다랑어,F,포장횟감)",,,7,1.45,28.15,0,0,0,0,0
,,,,"냉동다랑어(남방참다랑어,F,횟감)",,,278,282.95,"7,356.9",2,2.24,12.15,0,0
,,,,"냉동다랑어(남방참다랑어,눈살)",,,1,0.36,4.92,0,0,0,0,0
,,,,"냉동다랑어(남방참다랑어,눈살,횟감)",,,3,0.22,4.6,1,0.16,3.83,0,0
,,,,"냉동다랑어(남방참다랑어,머리)",,,5,3.69,32.2,0,0,0,0,0
,,,,"냉동다랑어(남방참다랑어,머리살)",,,6,2.14,42.9,0,0,0,0,0
,,,,"냉동다랑어(남방참다랑어,머리살,횟감)",,,9,2.4,30.12,1,0.22,2.16,0,0
,,,,"냉동다랑어(남방참다랑어,목살)",,,678,638.37,"5,601.8",0,0,0,0,0
,,,,"냉동다랑어(남방참다랑어,목살,횟감)",,,309,234.44,"1,623.83",0,0,0,0,0
,,,,"냉동다랑어(남방참다랑어,볼살,포장횟감)",,,1,0.26,4.82,0,0,0,0,0
,,,,"냉동다랑어(남방참다랑어,볼살,횟감)",,,62,17.4,294.56,0,0,0,0,0
,,,,"냉동다랑어(남방참다랑어,턱살,횟감)",,,14,5.48,27.6,0,0,0,0,0
,,,,냉동다랑어(눈다랑어),,,"1,516","41,917.88","292,681.74",3,3.78,27.56,0,0
,,,,"냉동다랑어(눈다랑어,DICE)",,,6,57.06,94.26,1,12.28,19.75,0,0
,,,,"냉동다랑어(눈다랑어,F)",,,177,874.18,"7,102.62",3,0.53,2.31,0,0
,,,,"냉동다랑어(눈다랑어,F,포장횟감)",,,28,63.18,510.97,2,12.33,18.47,0,0
,,,,"냉동다랑어(눈다랑어,F,횟감)",,,"5,074","9,419.15","130,850.27",16,26.59,245.25,0,0
,,,,"냉동다랑어(눈다랑어,눈살)",,,101,73.11,842.5,1,1.21,9.53,0,0
,,,,"냉동다랑어(눈다랑어,눈살,횟감)",,,67,67.37,831.46,0,0,0,0,0
,,,,"냉동다랑어(눈다랑어,머리)",,,19,94.7,306.26,4,4.39,12.65,0,0
,,,,"냉동다랑어(눈다랑어,머리살)",,,50,15.83,168.14,0,0,0,0,0
,,,,"냉동다랑어(눈다랑어,머리살,횟감)",,,65,25.39,262.99,0,0,0,0,0
,,,,"냉동다랑어(눈다랑어,목살)",,,"3,354","4,833.21","23,143.25",5,15.29,47.9,0,0
,,,,"냉동다랑어(눈다랑어,목살,횟감)",,,"1,695","2,270.72","12,839.94",11,12.3,53.96,0,0
,,,,"냉동다랑어(눈다랑어,볼살)",,,288,100.38,"1,341.33",0,0,0,0,0
,,,,"냉동다랑어(눈다랑어,볼살,포장횟감)",,,9,1.15,4.37,2,0.3,2.17,0,0
,,,,"냉동다랑어(눈다랑어,볼살,횟감)",,,132,64.54,855.91,3,1.13,13.29,0,0
,,,,"냉동다랑어(눈다랑어,턱살)",,,62,28.99,70.4,0,0,0,0,0
,,,,"냉동다랑어(눈다랑어,턱살,횟감)",,,15,1.28,3.96,0,0,0,0,0
,,,,냉동다랑어(백다랑어),,,3,64.93,75.1,0,0,0,0,0
,,,,"냉동다랑어(백다랑어,S,포장횟감)",,,2,1.92,23.1,0,0,0,0,0
,,,,냉동다랑어(참다랑어),,,"1,116","5,010.21","78,980.3",3,3.21,21.14,0,0
,,,,"냉동다랑어(참다랑어,F)",,,967,"12,393.23","340,322.2",3,0.73,20.22,0,0
,,,,"냉동다랑어(참다랑어,F,포장횟감)",,,9,6.79,301.18,3,1.31,69.25,0,0
,,,,"냉동다랑어(참다랑어,F,횟감)",,,"5,334","12,961.97","534,818.06",39,49.75,"2,342.28",0,0
,,,,"냉동다랑어(참다랑어,갈비살)",,,12,4.65,187.1,0,0,0,0,0
,,,,"냉동다랑어(참다랑어,꼬리살)",,,88,64.43,519.12,3,1.47,8.64,0,0
,,,,"냉동다랑어(참다랑어,꼬리살,횟감)",,,7,3.92,31.79,0,0,0,0,0
,,,,"냉동다랑어(참다랑어,눈살)",,,3,0.16,0.8,0,0,0,0,0
,,,,"냉동다랑어(참다랑어,눈살,횟감)",,,10,3.76,43.99,1,3.03,33.97,0,0
,,,,"냉동다랑어(참다랑어,등살)",,,7,3.21,97.98,0,0,0,0,0
,,,,"냉동다랑어(참다랑어,머리살)",,,468,122.45,"2,408.79",2,2.49,18.88,0,0
,,,,"냉동다랑어(참다랑어,머리살,횟감)",,,300,92.53,"1,937.92",7,1.11,20.77,0,0
,,,,"냉동다랑어(참다랑어,목살)",,,"2,541","3,944.37","70,469.48",7,10.57,129.73,0,0
,,,,"냉동다랑어(참다랑어,목살,횟감)",,,"1,581","2,568.47","44,490.69",13,32.28,587.09,0,0
,,,,"냉동다랑어(참다랑어,볼살)",,,795,207.2,"4,814.41",17,5.9,147.5,0,0
,,,,"냉동다랑어(참다랑어,볼살,횟감)",,,771,220.78,"5,109.91",20,7.91,158.95,0,0
,,,,"냉동다랑어(참다랑어,아가미살)",,,1,0.19,0.16,0,0,0,0,0
,,,,"냉동다랑어(참다랑어,지느러미살)",,,13,4.61,23.14,0,0,0,0,0
,,,,"냉동다랑어(참다랑어,턱살)",,,740,216.62,"2,260.85",2,1.95,19.68,0,0
,,,,"냉동다랑어(참다랑어,턱살,횟감)",,,459,152.14,"1,784.54",5,0.74,7.42,0,0
,,,,냉동다랑어(황다랑어),,,"2,018","50,783.83","242,869.28",6,71.54,297.18,0.26,0.77
,,,,"냉동다랑어(황다랑어,DICE,포장횟감)",,,1,0.11,0.32,0,0,0,0,0
,,,,"냉동다랑어(황다랑어,F)",,,298,"1,173.61","6,634.93",25,40.59,173.69,0,0
,,,,"냉동다랑어(황다랑어,F,포장횟감)",,,100,138.56,"1,335.85",18,14.56,66.21,0,0
,,,,"냉동다랑어(황다랑어,F,횟감)",,,"1,722","2,323.11","22,346.9",18,27.7,124.52,0,0
,,,,"냉동다랑어(황다랑어,S,포장횟감)",,,63,154.16,"2,966.17",0,0,0,0,0
,,,,"냉동다랑어(황다랑어,꼬리살)",,,3,8.4,7.38,1,0.07,0.09,0,0
,,,,"냉동다랑어(황다랑어,눈살)",,,21,21.29,293.25,1,0.12,8.4,0,0
,,,,"냉동다랑어(황다랑어,머리)",,,7,5.97,15.17,4,4.81,12.12,0,0
,,,,"냉동다랑어(황다랑어,머리살)",,,2,8.15,134.85,0,0,0,0,0
,,,,"냉동다랑어(황다랑어,목살)",,,913,955.4,"3,633.64",9,18.79,35.73,0,0
,,,,"냉동다랑어(황다랑어,목살,포장횟감)",,,1,0.43,0.43,0,0,0,0,0
,,,,"냉동다랑어(황다랑어,목살,횟감)",,,460,572.95,"2,269.1",12,22.11,94.77,0,0
,,,,"냉동다랑어(황다랑어,볼살)",,,129,27.95,414.08,3,1.47,15.57,0,0
,,,,"냉동다랑어(황다랑어,볼살,포장횟감)",,,9,2.93,28.49,1,0.1,0.55,0,0
,,,,"냉동다랑어(황다랑어,볼살,횟감)",,,41,21.48,251.33,2,2.17,22.26,0,0
,,,,"냉동다랑어(황다랑어,자숙,F)",,,1,0.12,0.84,0,0,0,0,0
,,,,"냉동다랑어(황다랑어,훈제,F,포장횟감)",,,6,2.57,44.09,2,0.73,4.11,0,0
,,,,냉동다슬기,,,240,"1,371.46","1,171.75",2,5.76,5.06,0,0
,,,,냉동다슬기(자숙),,,43,198.15,381.32,0,0,0,0,0
,,,,냉동다슬기(참다슬기),,,17,34.69,37.15,2,4.45,3.77,0,0
,,,,"냉동다슬기(참다슬기, 자숙)",,,1,3.92,4.7,0,0,0,0,0
,,,,냉동다슬기살(자숙),,,"1,870","21,197.26","67,257.18",64,587.92,"2,154.44",3.52,0.66
,,,,"냉동다슬기살(참다슬기,자숙)",,,46,161.25,435.43,0,0,0,0,0
,,,,냉동다시마,,,4,50.02,34.26,0,0,0,0,0
,,,,냉동다시마(자숙),,,1,0.1,1.03,0,0,0,0,0
,,,,냉동달강어,,,49,90.83,134.44,0,0,0,0,0
,,,,냉동달강어(F),,,5,39.9,80.7,0,0,0,0,0
,,,,냉동달고기,,,27,457,564.63,1,0.78,0.86,0,0
,,,,냉동달고기(F),,,19,30.53,150.05,0,0,0,0,0
,,,,"냉동달고기(S,포장횟감)",,,5,8.11,101.91,0,0,0,0,0
,,,,냉동대구,,,"9,032","336,470.08","579,302.44",8,180.16,168.35,0,0
,,,,냉동대구(F),,,"1,294","14,506.65","49,216.49",0,0,0,0,0
,,,,냉동대구(가이민대구),,,1,22.01,36.97,0,0,0,0,0
,,,,냉동대구(검정대구),,,40,83.3,759.71,0,0,0,0,0
,,,,"냉동대구(검정대구,F)",,,17,233.57,701.96,0,0,0,0,0
,,,,냉동대구(검정민대구),,,1,11.84,4.96,0,0,0,0,0
,,,,냉동대구(극지대구),,,6,287.38,100.69,0,0,0,0,0
,,,,냉동대구(남방대구),,,8,333.55,250.14,0,0,0,0,0
,,,,"냉동대구(남방대구,F)",,,156,"5,548.5","12,217.98",0,0,0,0,0
,,,,냉동대구(머리),,,"2,487","32,783.62","62,201.08",38,696.64,909.27,0,0
,,,,냉동대구(목살),,,"4,353","39,831.09","93,940.96",26,194.59,408.04,0,0
,,,,냉동대구(민대구),,,158,"3,735.35","4,634.56",1,9.63,28.88,0,0
,,,,"냉동대구(민대구,F)",,,55,559.73,"1,295.87",0,0,0,0,0
,,,,냉동대구(빨간대구),,,132,"2,461.72","1,643.57",0,0,0,0,0
,,,,"냉동대구(빨간대구,F)",,,28,244.28,593.63,1,7.58,21.22,0,0
,,,,냉동대구(수염대구),,,12,229.45,113.4,0,0,0,0,0
,,,,냉동대구(은대구),,,315,"1,878.27","19,409.04",4,40.51,306.39,0,0
,,,,"냉동대구(은대구,F)",,,7,7.83,188.01,0,0,0,0,0
,,,,"냉동대구(은대구,목살)",,,36,103.08,382.48,4,7.11,29.74,0,0
,,,,냉동대구(은민대구),,,29,"1,043.35","2,217.47",0,0,0,0,0
,,,,"냉동대구(은민대구,머리)",,,11,147.56,264.38,1,19.48,35.06,0,0
,,,,"냉동대구(은민대구,목살)",,,6,114.06,352.02,1,22.37,86.13,0,0
,,,,냉동대구(점수염대구),,,3,16.29,23.95,0,0,0,0,0
,,,,"냉동대구(청대구,F)",,,8,74.49,197.62,0,0,0,0,0
,,,,냉동대구(큰은대구),,,2,32.15,353.16,1,0.05,0.05,0,0
,,,,"냉동대구(큰은대구,F)",,,1,1.2,13.22,0,0,0,0,0
,,,,냉동대합,,,7,42.67,44.66,0,0,0,0,0
,,,,냉동대합(북방대합),,,13,77.05,581.06,0,0,0,0,0
,,,,"냉동대합(북방대합,자숙)",,,3,18.02,103.1,0,0,0,0,0
,,,,"냉동대합(북방대합,한쪽껍질붙은)",,,45,427.15,626.79,1,2.84,3.41,0,0
,,,,"냉동대합(자숙,한쪽껍질붙은)",,,1,0.13,0.2,0,0,0,0,0
,,,,냉동대합(한쪽껍질붙은),,,11,72.13,101.49,0,0,0,0,0
,,,,냉동대합살,,,8,35.62,86.58,0,0,0,0,0
,,,,냉동대합살(북방대합),,,234,"1,087.29","8,750.79",0,0,0,0,0
,,,,"냉동대합살(북방대합,자숙)",,,200,609.11,"4,604.67",0,0,0,0,0
,,,,"냉동대합살(북방대합,자숙,S)",,,5,2.07,32.5,0,0,0,0,0
,,,,"냉동대합살(북방대합,자숙,S,포장횟감)",,,12,26.25,593.2,0,0,0,0,0
,,,,"냉동대합살(북방대합,자숙,포장횟감)",,,387,424.92,"13,331.59",2,1.42,17.35,0,0
,,,,"냉동대합살(북방대합,자숙,횟감)",,,15,23.6,614.03,0,0,0,0,0
,,,,"냉동대합살(북방대합,포장횟감)",,,147,339.37,"6,204.4",2,2.76,55.27,0,0
,,,,냉동대합살(자숙),,,4,20.2,317.35,0,0,0,0,0
,,,,냉동덕대,,,2,5.11,4.39,0,0,0,0,0
,,,,냉동도다리,,,4,2.73,8,0,0,0,0,0
,,,,냉동도다리(강도다리),,,27,137.41,65.78,1,0.68,0.21,0,0
,,,,"냉동도다리(강도다리,F)",,,1,0.36,2.84,0,0,0,0,0
,,,,냉동도루묵,,,268,"4,112.42","7,548.63",7,108.3,442.95,0,0
,,,,냉동도리(블랙오레오도리),,,7,278.77,334.71,0,0,0,0,0
,,,,"냉동도리(블랙오레오도리,F)",,,10,94.66,394.46,1,0.1,0.84,0,0
,,,,냉동도리(스무스오레오도리),,,1,0.19,0.23,0,0,0,0,0
,,,,"냉동도리(스무스오레오도리,F)",,,9,3.54,14.88,0,0,0,0,0
,,,,"냉동도리(오레오도리,F)",,,1,1,2,0,0,0,0,0
,,,,"냉동도리(퍼시픽도리,F)",,,6,61.9,159.34,0,0,0,0,0
,,,,"냉동도리(퍼시픽도리,F,포장횟감)",,,3,15.62,52.32,1,7.61,25.49,0,0
,,,,냉동도치(대서양럼프피쉬),,,2,0.91,0.79,0,0,0,0,0
,,,,냉동돌치(검정돌치),,,2,4.92,12.96,0,0,0,0,0
,,,,냉동돔,,,356,"3,059.58","8,664.32",3,2.69,3.05,0,0
,,,,냉동돔(F),,,52,218.06,650.31,1,0.07,0.05,0,0
,,,,냉동돔(Gymnocranius frenatus),,,1,2.74,7.11,0,0,0,0,0
,,,,"냉동돔(Gymnocranius frenatus,F)",,,5,19.29,82.69,0,0,0,0,0
,,,,냉동돔(S),,,1,0.11,0.8,0,0,0,0,0
,,,,냉동돔(갈돔),,,5,37.35,48.91,0,0,0,0,0
,,,,"냉동돔(갈돔,F)",,,1,0.28,1.64,0,0,0,0,0
,,,,"냉동돔(갈돔,F,포장횟감)",,,1,3.27,15.53,0,0,0,0,0
,,,,냉동돔(감성돔),,,43,100.14,193.04,0,0,0,0,0
,,,,"냉동돔(감성돔,F)",,,3,17.32,116.18,0,0,0,0,0
,,,,"냉동돔(구운,S)",,,2,0.53,4.29,0,0,0,0,0
,,,,냉동돔(궁상퉁돔),,,1,1.29,0.52,0,0,0,0,0
,,,,"냉동돔(귀족돔,F,포장횟감)",,,1,10,116.5,0,0,0,0,0
,,,,냉동돔(금눈돔),,,37,589.25,"1,347.42",0,0,0,0,0
,,,,"냉동돔(금눈돔,F)",,,3,2.25,20.53,0,0,0,0,0
,,,,"냉동돔(금눈돔,F,포장횟감)",,,2,0.18,3.46,0,0,0,0,0
,,,,냉동돔(금색돔),,,8,71.59,413.08,0,0,0,0,0
,,,,냉동돔(남방샛돔),,,1,24.47,12.24,0,0,0,0,0
,,,,"냉동돔(남방샛돔,F)",,,2,0.2,0.59,0,0,0,0,0
,,,,냉동돔(남방옥돔),,,6,11.2,39.97,0,0,0,0,0
,,,,냉동돔(네동가리),,,2,5.47,6.56,0,0,0,0,0
,,,,냉동돔(녹줄돔),,,3,4.75,10.11,0,0,0,0,0
,,,,냉동돔(눈샛돔),,,1,0.01,0.03,0,0,0,0,0
,,,,냉동돔(뉴지부시돔),,,2,2.54,11.34,0,0,0,0,0
,,,,"냉동돔(뉴지부시돔,F)",,,29,35.99,407.21,0,0,0,0,0
,,,,"냉동돔(뉴지샛돔,F)",,,5,0.49,3.72,0,0,0,0,0
,,,,냉동돔(독돔),,,1,0.4,1.28,0,0,0,0,0
,,,,냉동돔(돌돔),,,1,8.42,4.92,0,0,0,0,0
,,,,"냉동돔(돌돔,F)",,,4,0.37,1.2,0,0,0,0,0
,,,,"냉동돔(동갈돔,F)",,,6,47.05,152.02,3,18.06,55.99,0,0
,,,,냉동돔(동방실꼬리돔),,,7,17,15.75,0,0,0,0,0
,,,,냉동돔(등흑점옥두어),,,326,"3,241.6","9,659.8",6,58.1,184.06,0,0
,,,,"냉동돔(등흑점옥두어,F)",,,1,0.71,1.76,0,0,0,0,0
,,,,"냉동돔(맹그로브퉁돔,F)",,,15,64.44,626.81,0,0,0,0,0
,,,,냉동돔(무늬퉁돔),,,2,3.95,13.63,0,0,0,0,0
,,,,"냉동돔(무늬퉁돔,F)",,,1,0.3,1.35,0,0,0,0,0
,,,,"냉동돔(무늬퉁돔,F,포장횟감)",,,1,0.24,2.16,0,0,0,0,0
,,,,냉동돔(물렁돔),,,2,2.16,0.71,0,0,0,0,0
,,,,"냉동돔(물렁돔,F)",,,3,36.88,279.72,0,0,0,0,0
,,,,냉동돔(민사자구돔),,,1,0.32,0.32,0,0,0,0,0
,,,,냉동돔(백미돔),,,5,1.45,0.81,0,0,0,0,0
,,,,"냉동돔(벤자리, F, 포장횟감)",,,1,0.53,12.46,0,0,0,0,0
,,,,"냉동돔(벵에돔,F)",,,1,9.44,25.49,0,0,0,0,0
,,,,냉동돔(부시돔),,,4,319.99,"1,375.97",0,0,0,0,0
,,,,냉동돔(붉돔),,,57,533.34,"1,162.04",4,6.36,11.51,0,0
,,,,"냉동돔(붉돔,F)",,,5,15.09,81.32,0,0,0,0,0
,,,,냉동돔(붉은갈돔),,,4,0.53,1.61,3,0.28,0.85,0,0
,,,,냉동돔(붉퉁돔),,,58,294.34,"1,131.16",0,0,0,0,0
,,,,"냉동돔(붉퉁돔,목살)",,,1,0.42,0.44,0,0,0,0,0
,,,,"냉동돔(비늘돔,F)",,,3,16.7,50.1,0,0,0,0,0
,,,,냉동돔(빛금눈돔),,,10,167.77,394.59,0,0,0,0,0
,,,,냉동돔(뿔돔),,,6,20.73,23.92,0,0,0,0,0
,,,,"냉동돔(뿔돔,F)",,,1,2.95,4.25,0,0,0,0,0
,,,,냉동돔(사자구돔),,,2,0.37,3.2,0,0,0,0,0
,,,,냉동돔(샛돔),,,42,548.99,870.78,0,0,0,0,0
,,,,"냉동돔(샛돔,F)",,,4,14.93,20.66,0,0,0,0,0
,,,,"냉동돔(샛돔,S,포장횟감)",,,6,10.97,130.99,0,0,0,0,0
,,,,냉동돔(실꼬리돔),,,135,888.01,853.91,1,3.66,1.83,0,0
,,,,"냉동돔(실꼬리돔,F)",,,130,880.62,"1,454.92",9,99.04,209.31,0,0
,,,,"냉동돔(실꼬리돔,F,포장횟감)",,,27,45.99,470.95,0,0,0,0,0
,,,,"냉동돔(실꼬리돔,S,포장횟감)",,,26,43.38,493.82,2,0.2,2.17,0,0
,,,,냉동돔(얼게비늘돔),,,1,0.29,0.25,0,0,0,0,0
,,,,냉동돔(에렌벨지붉돔),,,13,5.59,7.52,0,0,0,0,0
,,,,냉동돔(연어병치),,,4,8.08,7.52,0,0,0,0,0
,,,,"냉동돔(연어병치,F)",,,19,158.08,580.91,0,0,0,0,0
,,,,냉동돔(옥돔),,,957,"14,338.89","53,763.23",3,26.27,100.98,0,0
,,,,"냉동돔(옥돔,F)",,,10,17.9,87.24,0,0,0,0,0
,,,,냉동돔(옥두어),,,"1,279","24,409.13","81,590.72",5,48.54,121.8,0,0
,,,,"냉동돔(옥두어,F)",,,6,12.05,80.6,0,0,0,0,0
,,,,냉동돔(은샛돔),,,12,40.77,55.04,0,0,0,0,0
,,,,"냉동돔(은샛돔,F)",,,2,0.2,0.87,0,0,0,0,0
,,,,"냉동돔(자리돔,S,포장횟감)",,,25,29.58,378.9,0,0,0,0,0
,,,,냉동돔(자색뿔돔),,,2,2.92,4.8,0,0,0,0,0
,,,,"냉동돔(자색뿔돔,F)",,,1,9.5,7.6,0,0,0,0,0
,,,,냉동돔(적돔),,,8,206.99,359.34,0,0,0,0,0
,,,,냉동돔(조니퉁돔),,,5,8.84,14.65,0,0,0,0,0
,,,,냉동돔(지브라타일돔),,,1,8.78,4.08,0,0,0,0,0
,,,,"냉동돔(지브라타일돔,F)",,,2,3.96,14.75,0,0,0,0,0
,,,,냉동돔(진홍퉁돔),,,56,397.68,"1,804.52",0,0,0,0,0
,,,,"냉동돔(진홍퉁돔,S,포장횟감)",,,2,1.77,20.18,0,0,0,0,0
,,,,냉동돔(참돔),,,"1,371","19,196.28","70,230.05",3,50,217.52,0,0
,,,,"냉동돔(참돔,F)",,,18,312.56,721.45,0,0,0,0,0
,,,,"냉동돔(참돔,F,포장횟감)",,,7,15.39,296.9,0,0,0,0,0
,,,,"냉동돔(참돔,S,포장횟감)",,,6,11.73,140.41,1,5.25,41.22,0,0
,,,,"냉동돔(참돔,구운,S,포장횟감)",,,8,4.36,150.77,1,0.1,5.92,0,0
,,,,"냉동돔(청돔,F)",,,72,424.26,"1,126.83",0,0,0,0,0
,,,,"냉동돔(청돔,F,포장횟감)",,,1,0.3,1.05,0,0,0,0,0
,,,,"냉동돔(청돔,F,횟감)",,,14,109.24,302.4,0,0,0,0,0
,,,,"냉동돔(큰눈돔,F)",,,2,0.51,0.69,0,0,0,0,0
,,,,냉동돔(퉁돔),,,1,0.02,0.1,0,0,0,0,0
,,,,냉동돔(파랑비늘돔),,,5,13.01,53.05,0,0,0,0,0
,,,,"냉동돔(파랑비늘돔,F)",,,2,1.14,9.35,0,0,0,0,0
,,,,냉동돔(파랑제왕갈돔),,,2,0.6,0.47,0,0,0,0,0
,,,,"냉동돔(파랑제왕갈돔,F)",,,2,1.98,5.94,0,0,0,0,0
,,,,냉동돔(하스돔),,,21,481.38,135.73,0,0,0,0,0
,,,,냉동돔(하스돔속),,,3,1.28,0.41,0,0,0,0,0
,,,,냉동돔(홍옥치),,,11,65.89,62.69,0,0,0,0,0
,,,,냉동돔(홍치),,,12,124.8,88.34,0,0,0,0,0
,,,,"냉동돔(홍치,F)",,,4,40.05,93.28,0,0,0,0,0
,,,,냉동돔(황돔),,,126,397.95,"1,646.31",4,6.33,36.29,0,0
,,,,냉동돔(황소눈동갈돔),,,1,3,3,1,3,3,0,0
,,,,냉동돔(황옥돔),,,200,"2,392.54","7,869.17",0,0,0,0,0
,,,,냉동돔(황적퉁돔),,,2,2.87,2.05,0,0,0,0,0
,,,,"냉동돔(황적퉁돔,목살)",,,1,1.31,1.37,0,0,0,0,0
,,,,냉동돔(흑점샛돔),,,1,2.11,1.16,0,0,0,0,0
,,,,"냉동돔(흑점샛돔,F)",,,2,24.51,81.22,0,0,0,0,0
,,,,냉동동갈양태(F),,,1,7.18,14.37,0,0,0,0,0
,,,,냉동동미리,,,1,0.81,1.61,0,0,0,0,0
,,,,냉동동사리,,,17,81.02,140.41,0,0,0,0,0
,,,,냉동동자개,,,144,228.69,480.92,1,0.17,0.32,0,0
,,,,냉동동자개(CAVASIUS동자개),,,4,4.22,6.03,0,0,0,0,0
,,,,냉동동자개(F),,,2,2.02,4.18,0,0,0,0,0
,,,,냉동동자개(바다동자개),,,14,32.81,49.34,0,0,0,0,0
,,,,냉동동자개(아리우스동자개),,,43,26.97,76.54,0,0,0,0,0
,,,,냉동동죽살(자숙),,,1,10.4,20.79,0,0,0,0,0
,,,,냉동둑중개,,,1,1.88,2.54,0,0,0,0,0
,,,,냉동드렁허리,,,90,185.75,871.45,3,0.78,2.95,0,0
,,,,냉동드렁허리(F),,,11,3.71,38.3,2,0.55,7.88,0,0
,,,,냉동등가시치,,,1,7.5,1.05,0,0,0,0,0
,,,,"냉동등가시치(F,포장횟감)",,,4,12.74,33.53,0,0,0,0,0
,,,,냉동등목어,,,58,116.16,358.54,0,0,0,0,0
,,,,냉동만새기,,,48,107.95,136.94,0,0,0,0,0
,,,,냉동만새기(F),,,19,18.53,117.49,0,0,0,0,0
,,,,"냉동만새기(F, 포장횟감)",,,1,0.3,2.57,0,0,0,0,0
,,,,"냉동만새기(S,포장횟감)",,,3,2.1,49,0,0,0,0,0
,,,,냉동망둑,,,90,200.46,715.39,0,0,0,0,0
,,,,냉동망둑(F),,,1,0.11,0.67,0,0,0,0,0
,,,,냉동망둑(문절망둑),,,2,1.2,1.2,0,0,0,0,0
,,,,"냉동망둑(문절망둑,F)",,,2,9.71,29.66,0,0,0,0,0
